customer_id,cluster,segment
142,0,High-Value Families
144,2,Tech-Savvy Singles
145,2,Tech-Savvy Singles
146,4,Pet and Home Essentials
147,0,High-Value Families
148,4,Pet and Home Essentials
149,0,High-Value Families
152,3,Core Everyday Shoppers
154,2,Tech-Savvy Singles
157,3,Core Everyday Shoppers
158,3,Core Everyday Shoppers
159,1,Budget-Conscious Shoppers
160,4,Pet and Home Essentials
161,3,Core Everyday Shoppers
162,3,Core Everyday Shoppers
163,4,Pet and Home Essentials
165,0,High-Value Families
166,0,High-Value Families
168,3,Core Everyday Shoppers
170,2,Tech-Savvy Singles
171,3,Core Everyday Shoppers
172,4,Pet and Home Essentials
173,3,Core Everyday Shoppers
174,1,Budget-Conscious Shoppers
176,3,Core Everyday Shoppers
179,3,Core Everyday Shoppers
180,0,High-Value Families
182,3,Core Everyday Shoppers
184,3,Core Everyday Shoppers
185,0,High-Value Families
186,0,High-Value Families
187,2,Tech-Savvy Singles
188,4,Pet and Home Essentials
189,4,Pet and Home Essentials
191,3,Core Everyday Shoppers
192,3,Core Everyday Shoppers
193,4,Pet and Home Essentials
195,1,Budget-Conscious Shoppers
196,3,Core Everyday Shoppers
197,4,Pet and Home Essentials
198,3,Core Everyday Shoppers
199,1,Budget-Conscious Shoppers
200,0,High-Value Families
201,0,High-Value Families
202,3,Core Everyday Shoppers
203,3,Core Everyday Shoppers
204,3,Core Everyday Shoppers
205,4,Pet and Home Essentials
206,0,High-Value Families
207,0,High-Value Families
208,0,High-Value Families
210,3,Core Everyday Shoppers
211,0,High-Value Families
212,3,Core Everyday Shoppers
213,3,Core Everyday Shoppers
214,3,Core Everyday Shoppers
215,0,High-Value Families
216,3,Core Everyday Shoppers
217,3,Core Everyday Shoppers
218,1,Budget-Conscious Shoppers
219,2,Tech-Savvy Singles
220,3,Core Everyday Shoppers
221,0,High-Value Families
225,3,Core Everyday Shoppers
226,4,Pet and Home Essentials
229,0,High-Value Families
231,0,High-Value Families
232,3,Core Everyday Shoppers
233,3,Core Everyday Shoppers
235,3,Core Everyday Shoppers
236,2,Tech-Savvy Singles
238,1,Budget-Conscious Shoppers
240,2,Tech-Savvy Singles
241,3,Core Everyday Shoppers
242,3,Core Everyday Shoppers
243,4,Pet and Home Essentials
244,1,Budget-Conscious Shoppers
245,3,Core Everyday Shoppers
248,1,Budget-Conscious Shoppers
249,3,Core Everyday Shoppers
250,4,Pet and Home Essentials
251,3,Core Everyday Shoppers
254,1,Budget-Conscious Shoppers
256,0,High-Value Families
257,0,High-Value Families
258,3,Core Everyday Shoppers
259,3,Core Everyday Shoppers
260,2,Tech-Savvy Singles
261,0,High-Value Families
262,3,Core Everyday Shoppers
263,2,Tech-Savvy Singles
264,4,Pet and Home Essentials
265,3,Core Everyday Shoppers
266,3,Core Everyday Shoppers
270,4,Pet and Home Essentials
272,3,Core Everyday Shoppers
274,0,High-Value Families
276,3,Core Everyday Shoppers
278,0,High-Value Families
279,3,Core Everyday Shoppers
280,0,High-Value Families
282,3,Core Everyday Shoppers
283,3,Core Everyday Shoppers
284,3,Core Everyday Shoppers
285,4,Pet and Home Essentials
286,0,High-Value Families
287,3,Core Everyday Shoppers
288,2,Tech-Savvy Singles
290,1,Budget-Conscious Shoppers
292,3,Core Everyday Shoppers
293,1,Budget-Conscious Shoppers
295,3,Core Everyday Shoppers
296,3,Core Everyday Shoppers
297,4,Pet and Home Essentials
298,3,Core Everyday Shoppers
299,0,High-Value Families
300,2,Tech-Savvy Singles
301,0,High-Value Families
303,4,Pet and Home Essentials
304,3,Core Everyday Shoppers
305,3,Core Everyday Shoppers
306,3,Core Everyday Shoppers
307,4,Pet and Home Essentials
308,3,Core Everyday Shoppers
310,0,High-Value Families
311,4,Pet and Home Essentials
312,3,Core Everyday Shoppers
313,3,Core Everyday Shoppers
315,4,Pet and Home Essentials
317,4,Pet and Home Essentials
321,3,Core Everyday Shoppers
322,0,High-Value Families
323,3,Core Everyday Shoppers
324,4,Pet and Home Essentials
325,0,High-Value Families
326,0,High-Value Families
328,3,Core Everyday Shoppers
329,4,Pet and Home Essentials
330,3,Core Everyday Shoppers
331,2,Tech-Savvy Singles
336,3,Core Everyday Shoppers
337,3,Core Everyday Shoppers
338,2,Tech-Savvy Singles
339,0,High-Value Families
340,0,High-Value Families
341,3,Core Everyday Shoppers
342,0,High-Value Families
343,3,Core Everyday Shoppers
344,0,High-Value Families
346,1,Budget-Conscious Shoppers
347,1,Budget-Conscious Shoppers
350,3,Core Everyday Shoppers
351,3,Core Everyday Shoppers
352,3,Core Everyday Shoppers
353,0,High-Value Families
355,3,Core Everyday Shoppers
356,4,Pet and Home Essentials
358,4,Pet and Home Essentials
360,3,Core Everyday Shoppers
361,3,Core Everyday Shoppers
362,3,Core Everyday Shoppers
363,2,Tech-Savvy Singles
364,4,Pet and Home Essentials
365,4,Pet and Home Essentials
366,4,Pet and Home Essentials
367,3,Core Everyday Shoppers
368,3,Core Everyday Shoppers
369,3,Core Everyday Shoppers
370,3,Core Everyday Shoppers
371,0,High-Value Families
372,0,High-Value Families
373,0,High-Value Families
375,0,High-Value Families
376,3,Core Everyday Shoppers
377,3,Core Everyday Shoppers
378,3,Core Everyday Shoppers
379,0,High-Value Families
381,3,Core Everyday Shoppers
382,3,Core Everyday Shoppers
383,0,High-Value Families
384,3,Core Everyday Shoppers
385,3,Core Everyday Shoppers
386,3,Core Everyday Shoppers
387,3,Core Everyday Shoppers
389,4,Pet and Home Essentials
390,2,Tech-Savvy Singles
391,0,High-Value Families
392,3,Core Everyday Shoppers
393,4,Pet and Home Essentials
394,3,Core Everyday Shoppers
395,3,Core Everyday Shoppers
396,2,Tech-Savvy Singles
397,3,Core Everyday Shoppers
398,2,Tech-Savvy Singles
399,4,Pet and Home Essentials
400,4,Pet and Home Essentials
401,1,Budget-Conscious Shoppers
402,3,Core Everyday Shoppers
403,4,Pet and Home Essentials
405,0,High-Value Families
406,0,High-Value Families
407,3,Core Everyday Shoppers
408,2,Tech-Savvy Singles
410,0,High-Value Families
411,3,Core Everyday Shoppers
412,2,Tech-Savvy Singles
413,0,High-Value Families
414,0,High-Value Families
416,4,Pet and Home Essentials
417,4,Pet and Home Essentials
418,1,Budget-Conscious Shoppers
419,4,Pet and Home Essentials
420,4,Pet and Home Essentials
421,3,Core Everyday Shoppers
422,0,High-Value Families
424,4,Pet and Home Essentials
425,4,Pet and Home Essentials
426,2,Tech-Savvy Singles
427,3,Core Everyday Shoppers
428,0,High-Value Families
429,3,Core Everyday Shoppers
431,0,High-Value Families
432,4,Pet and Home Essentials
434,3,Core Everyday Shoppers
435,0,High-Value Families
436,1,Budget-Conscious Shoppers
437,0,High-Value Families
438,0,High-Value Families
440,3,Core Everyday Shoppers
441,4,Pet and Home Essentials
442,3,Core Everyday Shoppers
443,3,Core Everyday Shoppers
445,2,Tech-Savvy Singles
446,3,Core Everyday Shoppers
447,3,Core Everyday Shoppers
448,3,Core Everyday Shoppers
449,3,Core Everyday Shoppers
450,0,High-Value Families
451,0,High-Value Families
452,0,High-Value Families
453,0,High-Value Families
455,0,High-Value Families
456,4,Pet and Home Essentials
457,4,Pet and Home Essentials
460,3,Core Everyday Shoppers
461,0,High-Value Families
462,4,Pet and Home Essentials
464,3,Core Everyday Shoppers
465,2,Tech-Savvy Singles
467,4,Pet and Home Essentials
469,0,High-Value Families
470,2,Tech-Savvy Singles
471,1,Budget-Conscious Shoppers
472,2,Tech-Savvy Singles
473,0,High-Value Families
474,0,High-Value Families
475,4,Pet and Home Essentials
476,0,High-Value Families
477,0,High-Value Families
479,3,Core Everyday Shoppers
480,4,Pet and Home Essentials
481,2,Tech-Savvy Singles
482,3,Core Everyday Shoppers
484,0,High-Value Families
485,3,Core Everyday Shoppers
486,3,Core Everyday Shoppers
487,3,Core Everyday Shoppers
488,0,High-Value Families
489,0,High-Value Families
490,0,High-Value Families
491,3,Core Everyday Shoppers
492,3,Core Everyday Shoppers
494,3,Core Everyday Shoppers
495,3,Core Everyday Shoppers
496,4,Pet and Home Essentials
497,0,High-Value Families
498,3,Core Everyday Shoppers
499,3,Core Everyday Shoppers
501,1,Budget-Conscious Shoppers
502,3,Core Everyday Shoppers
503,0,High-Value Families
504,0,High-Value Families
505,0,High-Value Families
506,3,Core Everyday Shoppers
508,0,High-Value Families
509,2,Tech-Savvy Singles
510,1,Budget-Conscious Shoppers
511,3,Core Everyday Shoppers
513,1,Budget-Conscious Shoppers
514,0,High-Value Families
515,4,Pet and Home Essentials
516,2,Tech-Savvy Singles
517,4,Pet and Home Essentials
518,3,Core Everyday Shoppers
520,0,High-Value Families
521,3,Core Everyday Shoppers
522,1,Budget-Conscious Shoppers
523,2,Tech-Savvy Singles
524,3,Core Everyday Shoppers
526,4,Pet and Home Essentials
527,3,Core Everyday Shoppers
528,3,Core Everyday Shoppers
529,3,Core Everyday Shoppers
530,3,Core Everyday Shoppers
531,0,High-Value Families
532,3,Core Everyday Shoppers
533,3,Core Everyday Shoppers
534,0,High-Value Families
535,4,Pet and Home Essentials
536,4,Pet and Home Essentials
537,0,High-Value Families
538,3,Core Everyday Shoppers
539,3,Core Everyday Shoppers
540,3,Core Everyday Shoppers
541,3,Core Everyday Shoppers
542,0,High-Value Families
543,3,Core Everyday Shoppers
545,3,Core Everyday Shoppers
547,4,Pet and Home Essentials
548,3,Core Everyday Shoppers
549,4,Pet and Home Essentials
550,3,Core Everyday Shoppers
551,1,Budget-Conscious Shoppers
552,3,Core Everyday Shoppers
553,0,High-Value Families
554,3,Core Everyday Shoppers
556,2,Tech-Savvy Singles
557,3,Core Everyday Shoppers
558,0,High-Value Families
559,3,Core Everyday Shoppers
561,3,Core Everyday Shoppers
562,3,Core Everyday Shoppers
563,3,Core Everyday Shoppers
565,3,Core Everyday Shoppers
566,4,Pet and Home Essentials
568,2,Tech-Savvy Singles
569,4,Pet and Home Essentials
570,0,High-Value Families
571,0,High-Value Families
573,0,High-Value Families
574,3,Core Everyday Shoppers
575,3,Core Everyday Shoppers
576,0,High-Value Families
577,3,Core Everyday Shoppers
578,3,Core Everyday Shoppers
579,0,High-Value Families
580,0,High-Value Families
581,3,Core Everyday Shoppers
582,0,High-Value Families
583,1,Budget-Conscious Shoppers
584,3,Core Everyday Shoppers
585,1,Budget-Conscious Shoppers
586,4,Pet and Home Essentials
587,2,Tech-Savvy Singles
588,3,Core Everyday Shoppers
589,2,Tech-Savvy Singles
590,3,Core Everyday Shoppers
591,2,Tech-Savvy Singles
592,3,Core Everyday Shoppers
593,3,Core Everyday Shoppers
594,3,Core Everyday Shoppers
595,0,High-Value Families
596,0,High-Value Families
597,3,Core Everyday Shoppers
598,2,Tech-Savvy Singles
603,1,Budget-Conscious Shoppers
604,3,Core Everyday Shoppers
605,3,Core Everyday Shoppers
606,3,Core Everyday Shoppers
609,0,High-Value Families
611,4,Pet and Home Essentials
613,2,Tech-Savvy Singles
614,3,Core Everyday Shoppers
615,3,Core Everyday Shoppers
617,3,Core Everyday Shoppers
618,1,Budget-Conscious Shoppers
619,3,Core Everyday Shoppers
621,2,Tech-Savvy Singles
622,3,Core Everyday Shoppers
623,4,Pet and Home Essentials
624,1,Budget-Conscious Shoppers
625,3,Core Everyday Shoppers
626,3,Core Everyday Shoppers
627,0,High-Value Families
628,0,High-Value Families
629,4,Pet and Home Essentials
631,3,Core Everyday Shoppers
632,3,Core Everyday Shoppers
633,3,Core Everyday Shoppers
634,2,Tech-Savvy Singles
635,4,Pet and Home Essentials
636,4,Pet and Home Essentials
637,1,Budget-Conscious Shoppers
638,2,Tech-Savvy Singles
639,0,High-Value Families
640,3,Core Everyday Shoppers
641,4,Pet and Home Essentials
642,4,Pet and Home Essentials
643,3,Core Everyday Shoppers
644,4,Pet and Home Essentials
645,3,Core Everyday Shoppers
646,3,Core Everyday Shoppers
647,3,Core Everyday Shoppers
648,2,Tech-Savvy Singles
650,3,Core Everyday Shoppers
653,1,Budget-Conscious Shoppers
654,0,High-Value Families
655,3,Core Everyday Shoppers
656,0,High-Value Families
657,3,Core Everyday Shoppers
658,3,Core Everyday Shoppers
659,3,Core Everyday Shoppers
660,4,Pet and Home Essentials
662,0,High-Value Families
663,3,Core Everyday Shoppers
664,1,Budget-Conscious Shoppers
665,3,Core Everyday Shoppers
666,3,Core Everyday Shoppers
667,3,Core Everyday Shoppers
668,4,Pet and Home Essentials
669,4,Pet and Home Essentials
670,3,Core Everyday Shoppers
671,1,Budget-Conscious Shoppers
673,2,Tech-Savvy Singles
674,4,Pet and Home Essentials
675,4,Pet and Home Essentials
676,4,Pet and Home Essentials
677,3,Core Everyday Shoppers
678,4,Pet and Home Essentials
679,3,Core Everyday Shoppers
680,3,Core Everyday Shoppers
681,3,Core Everyday Shoppers
682,4,Pet and Home Essentials
685,4,Pet and Home Essentials
686,3,Core Everyday Shoppers
687,3,Core Everyday Shoppers
688,3,Core Everyday Shoppers
689,1,Budget-Conscious Shoppers
691,3,Core Everyday Shoppers
692,2,Tech-Savvy Singles
694,0,High-Value Families
695,0,High-Value Families
696,3,Core Everyday Shoppers
697,0,High-Value Families
699,3,Core Everyday Shoppers
700,2,Tech-Savvy Singles
701,1,Budget-Conscious Shoppers
703,2,Tech-Savvy Singles
704,4,Pet and Home Essentials
705,2,Tech-Savvy Singles
707,4,Pet and Home Essentials
708,4,Pet and Home Essentials
709,4,Pet and Home Essentials
710,4,Pet and Home Essentials
712,3,Core Everyday Shoppers
713,3,Core Everyday Shoppers
714,3,Core Everyday Shoppers
715,3,Core Everyday Shoppers
717,1,Budget-Conscious Shoppers
718,3,Core Everyday Shoppers
719,4,Pet and Home Essentials
721,3,Core Everyday Shoppers
722,1,Budget-Conscious Shoppers
723,3,Core Everyday Shoppers
725,1,Budget-Conscious Shoppers
726,3,Core Everyday Shoppers
727,3,Core Everyday Shoppers
728,0,High-Value Families
729,3,Core Everyday Shoppers
730,3,Core Everyday Shoppers
731,3,Core Everyday Shoppers
732,4,Pet and Home Essentials
733,4,Pet and Home Essentials
734,3,Core Everyday Shoppers
735,0,High-Value Families
736,0,High-Value Families
737,0,High-Value Families
738,3,Core Everyday Shoppers
739,1,Budget-Conscious Shoppers
741,4,Pet and Home Essentials
742,1,Budget-Conscious Shoppers
743,3,Core Everyday Shoppers
744,4,Pet and Home Essentials
745,0,High-Value Families
746,2,Tech-Savvy Singles
747,3,Core Everyday Shoppers
748,3,Core Everyday Shoppers
749,4,Pet and Home Essentials
752,3,Core Everyday Shoppers
753,4,Pet and Home Essentials
754,0,High-Value Families
755,0,High-Value Families
757,0,High-Value Families
758,3,Core Everyday Shoppers
759,3,Core Everyday Shoppers
760,4,Pet and Home Essentials
761,3,Core Everyday Shoppers
762,3,Core Everyday Shoppers
763,3,Core Everyday Shoppers
764,3,Core Everyday Shoppers
765,4,Pet and Home Essentials
766,2,Tech-Savvy Singles
767,3,Core Everyday Shoppers
768,4,Pet and Home Essentials
769,3,Core Everyday Shoppers
770,4,Pet and Home Essentials
771,3,Core Everyday Shoppers
772,4,Pet and Home Essentials
773,4,Pet and Home Essentials
776,0,High-Value Families
777,4,Pet and Home Essentials
779,4,Pet and Home Essentials
780,3,Core Everyday Shoppers
781,4,Pet and Home Essentials
782,3,Core Everyday Shoppers
783,3,Core Everyday Shoppers
785,3,Core Everyday Shoppers
787,2,Tech-Savvy Singles
788,3,Core Everyday Shoppers
789,1,Budget-Conscious Shoppers
791,2,Tech-Savvy Singles
792,4,Pet and Home Essentials
793,3,Core Everyday Shoppers
794,3,Core Everyday Shoppers
795,4,Pet and Home Essentials
797,3,Core Everyday Shoppers
798,0,High-Value Families
799,3,Core Everyday Shoppers
800,0,High-Value Families
803,3,Core Everyday Shoppers
804,4,Pet and Home Essentials
805,3,Core Everyday Shoppers
806,2,Tech-Savvy Singles
808,3,Core Everyday Shoppers
809,2,Tech-Savvy Singles
810,3,Core Everyday Shoppers
811,0,High-Value Families
812,0,High-Value Families
813,3,Core Everyday Shoppers
814,3,Core Everyday Shoppers
815,3,Core Everyday Shoppers
816,3,Core Everyday Shoppers
817,0,High-Value Families
818,0,High-Value Families
819,3,Core Everyday Shoppers
820,3,Core Everyday Shoppers
821,3,Core Everyday Shoppers
822,3,Core Everyday Shoppers
823,4,Pet and Home Essentials
824,0,High-Value Families
826,4,Pet and Home Essentials
827,1,Budget-Conscious Shoppers
830,4,Pet and Home Essentials
831,3,Core Everyday Shoppers
832,3,Core Everyday Shoppers
833,2,Tech-Savvy Singles
834,3,Core Everyday Shoppers
835,3,Core Everyday Shoppers
836,4,Pet and Home Essentials
837,4,Pet and Home Essentials
838,1,Budget-Conscious Shoppers
839,4,Pet and Home Essentials
840,3,Core Everyday Shoppers
842,3,Core Everyday Shoppers
843,3,Core Everyday Shoppers
844,3,Core Everyday Shoppers
845,3,Core Everyday Shoppers
846,3,Core Everyday Shoppers
847,3,Core Everyday Shoppers
848,1,Budget-Conscious Shoppers
849,0,High-Value Families
851,4,Pet and Home Essentials
852,0,High-Value Families
853,0,High-Value Families
854,4,Pet and Home Essentials
855,3,Core Everyday Shoppers
856,2,Tech-Savvy Singles
857,4,Pet and Home Essentials
859,4,Pet and Home Essentials
860,3,Core Everyday Shoppers
862,0,High-Value Families
863,4,Pet and Home Essentials
864,3,Core Everyday Shoppers
865,4,Pet and Home Essentials
866,4,Pet and Home Essentials
867,2,Tech-Savvy Singles
868,4,Pet and Home Essentials
870,3,Core Everyday Shoppers
873,3,Core Everyday Shoppers
874,2,Tech-Savvy Singles
875,1,Budget-Conscious Shoppers
876,4,Pet and Home Essentials
878,4,Pet and Home Essentials
879,4,Pet and Home Essentials
880,4,Pet and Home Essentials
881,0,High-Value Families
883,4,Pet and Home Essentials
884,4,Pet and Home Essentials
886,3,Core Everyday Shoppers
887,3,Core Everyday Shoppers
889,3,Core Everyday Shoppers
890,3,Core Everyday Shoppers
891,4,Pet and Home Essentials
893,3,Core Everyday Shoppers
894,3,Core Everyday Shoppers
896,3,Core Everyday Shoppers
897,3,Core Everyday Shoppers
898,3,Core Everyday Shoppers
899,3,Core Everyday Shoppers
900,3,Core Everyday Shoppers
901,3,Core Everyday Shoppers
902,0,High-Value Families
903,0,High-Value Families
904,3,Core Everyday Shoppers
905,0,High-Value Families
906,3,Core Everyday Shoppers
907,4,Pet and Home Essentials
908,0,High-Value Families
909,4,Pet and Home Essentials
910,4,Pet and Home Essentials
911,0,High-Value Families
913,3,Core Everyday Shoppers
914,3,Core Everyday Shoppers
916,3,Core Everyday Shoppers
917,3,Core Everyday Shoppers
918,3,Core Everyday Shoppers
919,2,Tech-Savvy Singles
920,3,Core Everyday Shoppers
921,1,Budget-Conscious Shoppers
922,0,High-Value Families
923,0,High-Value Families
924,4,Pet and Home Essentials
925,4,Pet and Home Essentials
926,3,Core Everyday Shoppers
927,3,Core Everyday Shoppers
928,3,Core Everyday Shoppers
929,1,Budget-Conscious Shoppers
930,3,Core Everyday Shoppers
931,4,Pet and Home Essentials
933,2,Tech-Savvy Singles
934,0,High-Value Families
935,2,Tech-Savvy Singles
936,3,Core Everyday Shoppers
937,2,Tech-Savvy Singles
938,0,High-Value Families
939,2,Tech-Savvy Singles
940,4,Pet and Home Essentials
941,4,Pet and Home Essentials
942,2,Tech-Savvy Singles
944,4,Pet and Home Essentials
945,3,Core Everyday Shoppers
946,3,Core Everyday Shoppers
947,0,High-Value Families
948,3,Core Everyday Shoppers
950,0,High-Value Families
951,3,Core Everyday Shoppers
953,3,Core Everyday Shoppers
954,4,Pet and Home Essentials
955,3,Core Everyday Shoppers
956,1,Budget-Conscious Shoppers
957,0,High-Value Families
958,3,Core Everyday Shoppers
960,2,Tech-Savvy Singles
962,4,Pet and Home Essentials
963,4,Pet and Home Essentials
964,0,High-Value Families
965,3,Core Everyday Shoppers
966,3,Core Everyday Shoppers
967,2,Tech-Savvy Singles
968,4,Pet and Home Essentials
969,3,Core Everyday Shoppers
970,3,Core Everyday Shoppers
973,3,Core Everyday Shoppers
974,4,Pet and Home Essentials
975,4,Pet and Home Essentials
977,2,Tech-Savvy Singles
978,3,Core Everyday Shoppers
979,2,Tech-Savvy Singles
980,3,Core Everyday Shoppers
981,3,Core Everyday Shoppers
982,2,Tech-Savvy Singles
983,4,Pet and Home Essentials
986,3,Core Everyday Shoppers
989,1,Budget-Conscious Shoppers
990,3,Core Everyday Shoppers
991,2,Tech-Savvy Singles
992,0,High-Value Families
993,3,Core Everyday Shoppers
994,0,High-Value Families
996,0,High-Value Families
997,4,Pet and Home Essentials
998,1,Budget-Conscious Shoppers
999,0,High-Value Families
1000,4,Pet and Home Essentials
1001,4,Pet and Home Essentials
1002,4,Pet and Home Essentials
1003,0,High-Value Families
1004,3,Core Everyday Shoppers
1007,2,Tech-Savvy Singles
1008,4,Pet and Home Essentials
1009,4,Pet and Home Essentials
1011,3,Core Everyday Shoppers
1014,3,Core Everyday Shoppers
1015,2,Tech-Savvy Singles
1016,0,High-Value Families
1018,3,Core Everyday Shoppers
1019,4,Pet and Home Essentials
1021,2,Tech-Savvy Singles
1022,3,Core Everyday Shoppers
1023,0,High-Value Families
1024,3,Core Everyday Shoppers
1025,0,High-Value Families
1026,2,Tech-Savvy Singles
1027,0,High-Value Families
1028,2,Tech-Savvy Singles
1029,4,Pet and Home Essentials
1030,0,High-Value Families
1031,3,Core Everyday Shoppers
1032,1,Budget-Conscious Shoppers
1033,4,Pet and Home Essentials
1034,3,Core Everyday Shoppers
1035,1,Budget-Conscious Shoppers
1038,3,Core Everyday Shoppers
1039,3,Core Everyday Shoppers
1040,0,High-Value Families
1041,4,Pet and Home Essentials
1042,0,High-Value Families
1043,3,Core Everyday Shoppers
1044,3,Core Everyday Shoppers
1045,3,Core Everyday Shoppers
1046,0,High-Value Families
1048,3,Core Everyday Shoppers
1049,3,Core Everyday Shoppers
1050,3,Core Everyday Shoppers
1051,4,Pet and Home Essentials
1052,3,Core Everyday Shoppers
1055,2,Tech-Savvy Singles
1058,3,Core Everyday Shoppers
1060,0,High-Value Families
1061,3,Core Everyday Shoppers
1063,1,Budget-Conscious Shoppers
1064,0,High-Value Families
1065,2,Tech-Savvy Singles
1066,3,Core Everyday Shoppers
1067,4,Pet and Home Essentials
1068,2,Tech-Savvy Singles
1069,1,Budget-Conscious Shoppers
1071,2,Tech-Savvy Singles
1072,2,Tech-Savvy Singles
1073,0,High-Value Families
1074,0,High-Value Families
1075,0,High-Value Families
1076,0,High-Value Families
1077,0,High-Value Families
1078,3,Core Everyday Shoppers
1079,4,Pet and Home Essentials
1080,4,Pet and Home Essentials
1082,0,High-Value Families
1083,3,Core Everyday Shoppers
1084,3,Core Everyday Shoppers
1085,3,Core Everyday Shoppers
1086,2,Tech-Savvy Singles
1087,3,Core Everyday Shoppers
1088,3,Core Everyday Shoppers
1089,0,High-Value Families
1090,4,Pet and Home Essentials
1091,3,Core Everyday Shoppers
1092,3,Core Everyday Shoppers
1093,4,Pet and Home Essentials
1094,0,High-Value Families
1095,0,High-Value Families
1096,4,Pet and Home Essentials
1097,0,High-Value Families
1098,4,Pet and Home Essentials
1099,2,Tech-Savvy Singles
1101,3,Core Everyday Shoppers
1103,2,Tech-Savvy Singles
1104,2,Tech-Savvy Singles
1105,0,High-Value Families
1106,3,Core Everyday Shoppers
1108,3,Core Everyday Shoppers
1110,3,Core Everyday Shoppers
1111,3,Core Everyday Shoppers
1112,4,Pet and Home Essentials
1113,3,Core Everyday Shoppers
1114,0,High-Value Families
1115,2,Tech-Savvy Singles
1117,4,Pet and Home Essentials
1118,3,Core Everyday Shoppers
1119,1,Budget-Conscious Shoppers
1120,0,High-Value Families
1121,3,Core Everyday Shoppers
1122,2,Tech-Savvy Singles
1123,3,Core Everyday Shoppers
1124,4,Pet and Home Essentials
1125,3,Core Everyday Shoppers
1126,3,Core Everyday Shoppers
1127,3,Core Everyday Shoppers
1128,3,Core Everyday Shoppers
1129,3,Core Everyday Shoppers
1130,3,Core Everyday Shoppers
1131,4,Pet and Home Essentials
1132,0,High-Value Families
1133,0,High-Value Families
1134,4,Pet and Home Essentials
1135,3,Core Everyday Shoppers
1136,4,Pet and Home Essentials
1137,0,High-Value Families
1138,3,Core Everyday Shoppers
1139,2,Tech-Savvy Singles
1140,2,Tech-Savvy Singles
1141,3,Core Everyday Shoppers
1142,3,Core Everyday Shoppers
1143,0,High-Value Families
